img,label
ISIC_0009533.jpg,ISIC_0009533_segmentation.png
ISIC_0012434.jpg,ISIC_0012434_segmentation.png
ISIC_0013089.jpg,ISIC_0013089_segmentation.png
ISIC_0011374.jpg,ISIC_0011374_segmentation.png
ISIC_0000236.jpg,ISIC_0000236_segmentation.png
ISIC_0009928.jpg,ISIC_0009928_segmentation.png
ISIC_0013562.jpg,ISIC_0013562_segmentation.png
ISIC_0015203.jpg,ISIC_0015203_segmentation.png
ISIC_0010589.jpg,ISIC_0010589_segmentation.png
ISIC_0009201.jpg,ISIC_0009201_segmentation.png
ISIC_0000542.jpg,ISIC_0000542_segmentation.png
ISIC_0001769.jpg,ISIC_0001769_segmentation.png
ISIC_0010022.jpg,ISIC_0010022_segmentation.png
ISIC_0013493.jpg,ISIC_0013493_segmentation.png
ISIC_0014365.jpg,ISIC_0014365_segmentation.png
ISIC_0014760.jpg,ISIC_0014760_segmentation.png
ISIC_0013319.jpg,ISIC_0013319_segmentation.png
ISIC_0012248.jpg,ISIC_0012248_segmentation.png
ISIC_0013390.jpg,ISIC_0013390_segmentation.png
ISIC_0002780.jpg,ISIC_0002780_segmentation.png
ISIC_0012415.jpg,ISIC_0012415_segmentation.png
ISIC_0016040.jpg,ISIC_0016040_segmentation.png
ISIC_0015956.jpg,ISIC_0015956_segmentation.png
ISIC_0016000.jpg,ISIC_0016000_segmentation.png
ISIC_0014080.jpg,ISIC_0014080_segmentation.png
ISIC_0015309.jpg,ISIC_0015309_segmentation.png
ISIC_0014667.jpg,ISIC_0014667_segmentation.png
ISIC_0011211.jpg,ISIC_0011211_segmentation.png
ISIC_0013813.jpg,ISIC_0013813_segmentation.png
ISIC_0014037.jpg,ISIC_0014037_segmentation.png
ISIC_0009988.jpg,ISIC_0009988_segmentation.png
ISIC_0012704.jpg,ISIC_0012704_segmentation.png
ISIC_0014807.jpg,ISIC_0014807_segmentation.png
ISIC_0014072.jpg,ISIC_0014072_segmentation.png
ISIC_0014941.jpg,ISIC_0014941_segmentation.png
ISIC_0001216.jpg,ISIC_0001216_segmentation.png
ISIC_0013573.jpg,ISIC_0013573_segmentation.png
ISIC_0012905.jpg,ISIC_0012905_segmentation.png
ISIC_0013340.jpg,ISIC_0013340_segmentation.png
ISIC_0011124.jpg,ISIC_0011124_segmentation.png
ISIC_0014185.jpg,ISIC_0014185_segmentation.png
ISIC_0000184.jpg,ISIC_0000184_segmentation.png
ISIC_0010850.jpg,ISIC_0010850_segmentation.png
ISIC_0000157.jpg,ISIC_0000157_segmentation.png
ISIC_0013843.jpg,ISIC_0013843_segmentation.png
ISIC_0010368.jpg,ISIC_0010368_segmentation.png
ISIC_0015631.jpg,ISIC_0015631_segmentation.png
ISIC_0006940.jpg,ISIC_0006940_segmentation.png
ISIC_0015982.jpg,ISIC_0015982_segmentation.png
ISIC_0015390.jpg,ISIC_0015390_segmentation.png
ISIC_0000396.jpg,ISIC_0000396_segmentation.png
ISIC_0011162.jpg,ISIC_0011162_segmentation.png
ISIC_0014027.jpg,ISIC_0014027_segmentation.png
ISIC_0009982.jpg,ISIC_0009982_segmentation.png
ISIC_0008992.jpg,ISIC_0008992_segmentation.png
ISIC_0014187.jpg,ISIC_0014187_segmentation.png
ISIC_0012521.jpg,ISIC_0012521_segmentation.png
ISIC_0011300.jpg,ISIC_0011300_segmentation.png
ISIC_0000517.jpg,ISIC_0000517_segmentation.png
ISIC_0015283.jpg,ISIC_0015283_segmentation.png
ISIC_0010032.jpg,ISIC_0010032_segmentation.png
ISIC_0000129.jpg,ISIC_0000129_segmentation.png
ISIC_0010089.jpg,ISIC_0010089_segmentation.png
ISIC_0014577.jpg,ISIC_0014577_segmentation.png
ISIC_0011360.jpg,ISIC_0011360_segmentation.png
ISIC_0002206.jpg,ISIC_0002206_segmentation.png
ISIC_0013084.jpg,ISIC_0013084_segmentation.png
ISIC_0000245.jpg,ISIC_0000245_segmentation.png
ISIC_0011294.jpg,ISIC_0011294_segmentation.png
ISIC_0009939.jpg,ISIC_0009939_segmentation.png
ISIC_0013911.jpg,ISIC_0013911_segmentation.png
ISIC_0013398.jpg,ISIC_0013398_segmentation.png
ISIC_0011301.jpg,ISIC_0011301_segmentation.png
ISIC_0013235.jpg,ISIC_0013235_segmentation.png
ISIC_0014081.jpg,ISIC_0014081_segmentation.png
ISIC_0013517.jpg,ISIC_0013517_segmentation.png
ISIC_0011167.jpg,ISIC_0011167_segmentation.png
ISIC_0014915.jpg,ISIC_0014915_segmentation.png
ISIC_0000051.jpg,ISIC_0000051_segmentation.png
ISIC_0016071.jpg,ISIC_0016071_segmentation.png
ISIC_0011114.jpg,ISIC_0011114_segmentation.png
ISIC_0000510.jpg,ISIC_0000510_segmentation.png
ISIC_0009879.jpg,ISIC_0009879_segmentation.png
ISIC_0000102.jpg,ISIC_0000102_segmentation.png
ISIC_0013015.jpg,ISIC_0013015_segmentation.png
ISIC_0013986.jpg,ISIC_0013986_segmentation.png
ISIC_0013321.jpg,ISIC_0013321_segmentation.png
